,,,,,,,,,,,,,,,
,"The following list contains top 9933 most frequent Chinese characters based on Jun Da's Modern Chinese Character Frequency List, in the order of decreasing frequency. The number                                          of encounters in the corpus is recalculated into a percentage. The additional and missing information was gathered on HanziDB, Wikidictionary, as well as filled in by hand.",,,,,,,,,,,,,,
,№,Freq.,General standard #,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning,
,42,42,0030,一 1.2,621185,"0,321019%",1,1,3,下,xià,xia,fourth,"under, underneath, below; down; inferior; bring down","28,121805%"
,43,43,0477,自 132.0,611687,"0,316111%",3,2,6,自,zì,zi,fourth,"self, private, personal; from","28,437916%"
,44,44,0058,丿 4.3,609003,"0,314724%",4,4,3,之,zhī,zhi,first,"marks preceding phrase as modifier of following phrase; it, him her, them; go to","28,752640%"
,45,45,0444,干 51.3,601887,"0,311046%",1,1,6,年,nián,nian,second,year,"29,063686%"
,46,46,0379,辵 162.3,589925,"0,304864%",2,1,6,过,guò,guo,fourth,"pass, pass through, go across","29,368550%"
,47,47,0339,又 29.3,572904,"0,296068%",3,2,5,发,fā,fa,first,"issue, dispatch, send out; hair","29,664619%"
,48,48,0482,口 30.3,570764,"0,294962%",1,1,6,后,hòu,hou,fourth,"queen, empress, sovereign; (simp. for後) behind, rear, after","29,959581%"
,49,49,0777,人 9.5,542791,"0,280506%",1,1,7,作,zuò,zuo,fourth,"make; work; compose, write; act, perform","30,240087%"
,50,50,0721,里 166.0,537795,"0,277924%",1,1,7,里,lǐ,li,third,unit of distance; village; lane,"30,518012%"
,51,51,0283,用 101.0,535480,"0,276728%",3,1,5,用,yòng,yong,fourth,"use, employ, apply, operate; use","30,794740%"
,52,52,2745,辵 162.9,534695,"0,276322%",2,1,12,道,dào,dao,fourth,"path, road, street; method, way","31,071062%"
,53,53,0483,行 144.0,531848,"0,274851%",3,1,6,行,xíng,xing,second,"go; walk; move, travel; circulate","31,345913%"
,54,54,1164,戶 63.4,523028,"0,270293%",2,2,8,所,suǒ,suo,third,"place, location; numerary adjunct","31,616207%"
,55,55,2723,火 86.8,511026,"0,264091%",2,2,12,然,rán,ran,second,"yes, certainly; pledge, promise","31,880297%"
,56,56,2099,宀 40.7,509790,"0,263452%",1,1,10,家,jiā,jia,first,"house, home, residence; family","32,143749%"
